9;69
18;72
18;122
28;71
43;134
52;70
63;135
74;191
77;88
86;67
106;564
112;198
121;187
130;203
136;147
144;12
149;70
160;80
169;84
194;15
217;135
228;168
235;83
253;221
261;140
269;72
277;146
295;139
308;139
323;214
324;178
330;71
352;134
355;469
386;101
392;194
397;136
405;83
414;137
418;67
422;218
440;84
464;215
482;80
491;145
509;61
511;71
524;137
577;100
585;79
599;126
617;371
621;126
637;66
644;195
659;133
684;134
702;112
708;135
711;71
722;136
733;133
734;81
738;78
765;189
778;144
796;134
797;196
819;80
824;146
827;379
868;139
889;131
891;77
901;77
913;166
919;200
942;70
942;70
957;132
996;72
1024;141
1034;70
1057;73
1103;804
1124;66
1212;190
1250;506
1257;76
1259;78
1290;78
1302;137
1362;380
1369;280
1377;322
1418;11
1439;144
1451;324
1459;322
1466;369
1473;495
1497;321
1507;200
1528;259
1575;141
1590;134
1597;128
1619;197
1624;630
1624;133
1663;211
1753;137
1795;290
1831;469
1844;69
1865;145
1866;130
1908;77
1933;145
1958;138
1981;205
2004;130
2049;84
2092;72
2105;134
2114;79
2139;79
2174;156
2182;259
2195;547
2243;157
2273;232
2278;145
2317;80
2339;190
2361;439
2384;254
2415;23
2429;138
2452;136
2475;14
2536;205
2553;201
2565;130
2587;128
2589;145
2624;80
2676;203
2715;209
2722;135
2725;78
2730;260
2733;150
2747;23
2768;136
2773;154
2790;135
2831;145
2835;187
2853;145
2857;131
2858;72
2863;198
2873;80
2878;255
2885;317
2888;199
2893;257
2899;134
2901;259
2916;263
2941;259
2962;204
2970;223
2972;256
2984;78
2996;320
3005;134
3026;316
3035;253
3039;123
3043;191
3053;75
3061;388
3075;116
3080;372
3089;370
3104;313
3108;134
3121;260
3143;22
3145;111
3169;121
3192;90
3212;223
3216;772
3240;240
3247;167
3258;634
3282;133
3317;500
3352;79
3362;138
3386;133
3387;82
3422;134
3482;180
3530;155
3562;257
3577;252
3582;258
3589;324
3620;318
3663;211
3667;134
3668;545
3669;207
3681;211
3683;303
3701;502
3716;90
3732;238
3736;145
3744;143
3747;254
3755;94
3756;52
3761;257
3767;23
3769;253
3770;134
3777;258
3778;110
3785;256
3789;139
3793;257
3796;207
3805;201
3809;207
3815;205
3823;265
3838;494
3850;483
3852;53
3874;134
3877;49
3883;111
3923;188
3923;190
3924;276
3924;22
3924;542
3935;186
3936;83
3936;284
3937;122
3940;111
3944;201
3952;848
3952;290
3954;199
3955;508
3957;267
3958;117
3969;270
3969;338
3972;342
3976;115
3991;112
3991;316
3994;273
3996;899
4003;112
4010;878
4012;156
4024;305
4028;212
4028;289
4028;158
4030;281
4035;50
4043;234
4044;227
4046;379
4048;100
4053;271
4062;127
4065;207
4076;170
4076;201
4083;79
4086;382
4087;80
4092;220
4092;100
4096;227
4096;181
4102;141
4108;208
4109;104
4117;137
4124;98
4126;164
4128;94
4133;163
4136;137
4138;123
4147;294
4149;143
4159;312
4161;78
4162;173
4164;179
4164;124
4166;160
4167;161
4179;195
4182;124
4185;80
4192;106
4196;211
4199;118
4206;78
4212;74
4215;200
4222;78
4223;119
4227;190
4230;121
4239;157
4247;74
4256;81
4256;124
4265;76
4266;201
4266;116
4269;78
4279;120
4279;233
4281;119
4313;197
4337;139
4339;702
4409;200
4432;73
4541;327
4549;255
4557;72
4582;132
4586;133
4650;194
4652;145
4690;101
4700;199
4720;265
4724;80
4737;197
4748;133
4760;189
4773;73
4775;375
4783;264
4790;260
4793;145
4797;86
4822;21
4828;167
4863;412
4897;145
4991;133
5015;130
5038;134
5062;97
5087;99
5107;201
5183;139
5199;79
5209;817
5273;135
5306;199
5386;145
5401;136
5463;61
5464;194
5464;193
5464;192
5464;193
5464;435
5483;135
5484;78
5484;203
5489;232
5519;134
5524;133
5568;71
5615;126
5662;140
5710;74
5830;433
5877;431
5925;196
5947;151
5970;212
6016;128
6040;371
6087;271
6110;85
6156;144
6277;64
6349;114
6372;143
6442;194
6488;135
6535;145
6583;76
6606;145
6629;187
6677;197
6741;138
6741;481
6741;210
6741;242
6742;215
6770;139
6801;159
6802;146
6802;14
6803;199
6803;133
6807;207
6811;136
6813;76
6816;198
6817;17
6824;328
6830;134
6834;140
6835;286
6840;215
6842;70
6847;252
6850;153
6851;153
6855;229
6858;205
6860;79
6860;205
6862;239
6865;132
6889;190
6912;794
6923;186
6924;138
6925;281
6925;223
6925;264
6925;374
6929;459
6929;162
6934;142
6934;222
6935;230
6936;262
6936;207
6937;178
6942;248
6943;200
6944;199
6948;136
6948;132
6952;99
6952;279
6961;130
6963;788
6968;293
6968;240
6974;124
6974;112
6977;96
6978;184
6978;168
6980;147
6984;275
6984;31
6985;258
6986;133
7035;70
7045;130
7045;203
7057;189
7058;133
7062;200
7062;268
7069;135
7069;136
7070;298
7079;188
7083;194
7128;430
