19:50:17.271 INFO  dcs.group8.client.RunClient 155 main - Creating a new client
19:50:17.272 INFO  dcs.group8.client.RunClient 71 <init> - Initializing client's data structures
19:50:17.282 INFO  dcs.group8.client.RunClient 166 main - Creating jobs to submit to the Distributed System
19:50:17.457 INFO  dcs.group8.client.RunClient 258 setUpRegistry - Client registry is properly set up
19:50:35.496 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 1 from client_1 to gs@node322
19:50:35.511 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node322:JobMessage was received forwarding it to a resource manager
19:50:35.519 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 2 from client_1 to gs@node323
19:50:35.531 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node323:JobMessage was received forwarding it to a resource manager
19:50:36.538 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 3 from client_1 to gs@node324
19:50:36.555 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node324:JobMessage was received forwarding it to a resource manager
19:50:45.563 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 4 from client_1 to gs@node325
19:50:45.580 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node325:JobMessage was received forwarding it to a resource manager
19:51:00.587 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 5 from client_1 to gs@node326
19:51:00.604 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node326:JobMessage was received forwarding it to a resource manager
19:51:09.608 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 6 from client_1 to gs@node322
19:51:09.615 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node322:JobMessage was received forwarding it to a resource manager
19:51:25.618 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 7 from client_1 to gs@node323
19:51:25.626 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node323:JobMessage was received forwarding it to a resource manager
19:51:41.630 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 8 from client_1 to gs@node324
19:51:41.637 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node324:JobMessage was received forwarding it to a resource manager
19:51:47.527 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 1 was succesfully completed by cluster@: 9b6c7d0a-0fb1-4c06-9f99-cda78dcd6f36
19:51:53.641 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 9 from client_1 to gs@node325
19:51:53.648 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node325:JobMessage was received forwarding it to a resource manager
19:51:56.601 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 4 was succesfully completed by cluster@: 63896e85-9d0e-44d4-a5e4-d6df5d447adb
19:52:05.652 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 10 from client_1 to gs@node326
19:52:05.658 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node326:JobMessage was received forwarding it to a resource manager
19:52:09.662 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 11 from client_1 to gs@node322
19:52:09.806 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node322:JobMessage was received forwarding it to a resource manager
19:52:18.809 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 12 from client_1 to gs@node323
19:52:18.817 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node323:JobMessage was received forwarding it to a resource manager
19:52:19.625 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 6 was succesfully completed by cluster@: b127c2c2-c983-4270-9111-e62017fc0e63
19:52:24.820 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 13 from client_1 to gs@node324
19:52:24.828 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node324:JobMessage was received forwarding it to a resource manager
19:52:26.831 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 14 from client_1 to gs@node325
19:52:26.839 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node325:JobMessage was received forwarding it to a resource manager
19:52:27.842 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 15 from client_1 to gs@node326
19:52:27.849 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node326:JobMessage was received forwarding it to a resource manager
19:52:37.546 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 2 was succesfully completed by cluster@: 7bef0843-2d81-408a-a77a-afbf488a1f9d
19:52:46.853 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 16 from client_1 to gs@node322
19:52:46.860 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node322:JobMessage was received forwarding it to a resource manager
19:52:50.847 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 14 was succesfully completed by cluster@: 63896e85-9d0e-44d4-a5e4-d6df5d447adb
19:52:55.572 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 3 was succesfully completed by cluster@: d4f71b79-3442-42aa-940a-aad1db009c92
19:52:57.864 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 17 from client_1 to gs@node323
19:52:57.871 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node323:JobMessage was received forwarding it to a resource manager
19:53:07.252 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 18 from client_1 to gs@node324
19:53:07.259 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node324:JobMessage was received forwarding it to a resource manager
19:53:09.263 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 19 from client_1 to gs@node325
19:53:09.270 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node325:JobMessage was received forwarding it to a resource manager
19:53:14.617 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 5 was succesfully completed by cluster@: 354cc36c-205e-40f8-9ee3-648cea204fdf
19:53:32.273 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 20 from client_1 to gs@node326
19:53:32.280 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node326:JobMessage was received forwarding it to a resource manager
19:53:32.283 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 21 from client_1 to gs@node322
19:53:32.291 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node322:JobMessage was received forwarding it to a resource manager
19:53:47.304 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 21 was succesfully completed by cluster@: b127c2c2-c983-4270-9111-e62017fc0e63
19:53:47.636 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 7 was succesfully completed by cluster@: 021bc08a-2743-4d20-9c0a-b2d7a27cfbae
19:53:48.295 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 22 from client_1 to gs@node323
19:53:48.302 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node323:JobMessage was received forwarding it to a resource manager
19:53:55.306 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 23 from client_1 to gs@node324
19:53:55.313 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node324:JobMessage was received forwarding it to a resource manager
19:53:56.317 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 24 from client_1 to gs@node325
19:53:56.324 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node325:JobMessage was received forwarding it to a resource manager
19:53:56.867 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 16 was succesfully completed by cluster@: b127c2c2-c983-4270-9111-e62017fc0e63
19:53:59.647 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 8 was succesfully completed by cluster@: d4f71b79-3442-42aa-940a-aad1db009c92
19:54:05.328 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 25 from client_1 to gs@node326
19:54:05.334 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node326:JobMessage was received forwarding it to a resource manager
19:54:10.658 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 9 was succesfully completed by cluster@: e3ce33ca-a134-40ab-a238-f4e08699f2cc
19:54:13.337 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 26 from client_1 to gs@node322
19:54:13.345 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node322:JobMessage was received forwarding it to a resource manager
19:54:17.881 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 17 was succesfully completed by cluster@: 7bef0843-2d81-408a-a77a-afbf488a1f9d
19:54:31.269 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 18 was succesfully completed by cluster@: 5add2c20-45eb-4732-91ca-5aaa186c1859
19:54:37.348 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 27 from client_1 to gs@node323
19:54:37.356 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node323:JobMessage was received forwarding it to a resource manager
19:54:39.360 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 28 from client_1 to gs@node324
19:54:39.368 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node324:JobMessage was received forwarding it to a resource manager
19:54:55.372 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 29 from client_1 to gs@node325
19:54:55.379 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node325:JobMessage was received forwarding it to a resource manager
19:55:03.334 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 24 was succesfully completed by cluster@: 63896e85-9d0e-44d4-a5e4-d6df5d447adb
19:55:03.382 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 30 from client_1 to gs@node326
19:55:03.390 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node326:JobMessage was received forwarding it to a resource manager
19:55:04.393 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 31 from client_1 to gs@node322
19:55:04.401 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node322:JobMessage was received forwarding it to a resource manager
19:55:15.402 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 30 was succesfully completed by cluster@: 354cc36c-205e-40f8-9ee3-648cea204fdf
19:55:22.404 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 32 from client_1 to gs@node323
19:55:22.411 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node323:JobMessage was received forwarding it to a resource manager
19:55:25.827 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 12 was succesfully completed by cluster@: 021bc08a-2743-4d20-9c0a-b2d7a27cfbae
19:55:26.415 INFO  dcs.group8.client.RunClient 124 gwa - [+] Submitting Job_no: 33 from client_1 to gs@node324
19:55:26.422 INFO  dcs.group8.client.RunClient 128 gwa - [+]Response from gs@node324:JobMessage was received forwarding it to a resource manager
19:55:27.278 INFO  dcs.group8.client.RunClient 60 gsToClientMessage - My job with id: 19 was succesfully completed by cluster@: 63896e85-9d0e-44d4-a5e4-d6df5d447adb
