10:35:56.956 INFO  dcs.group8.models.ResourceManager 48 <init> - The resource manager rm@node317 was created
10:35:56.957 INFO  dcs.group8.models.ResourceManager 48 <init> - The resource manager rm@node317 was created
10:36:06.360 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 2367f3a8-f98e-46de-b551-42d69c642b50 to a node at cluster@10.141.3.32
10:36:15.062 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:2367f3a8-f98e-46de-b551-42d69c642b50 was completed
10:36:15.062 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:36:16.597 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: 18311b8e-fd88-4d73-be8f-6627f03d17c2 to a node at cluster@10.141.3.32
10:36:29.217 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:18311b8e-fd88-4d73-be8f-6627f03d17c2 was completed
10:36:29.217 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:36:32.017 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: bc25bb3d-2e4a-4abf-9bb0-5b60ee876fff to a node at cluster@10.141.3.32
10:36:38.442 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:bc25bb3d-2e4a-4abf-9bb0-5b60ee876fff was completed
10:36:38.442 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:36:42.107 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: cf3204bb-38dd-4456-9e54-4d4df1780912 to a node at cluster@10.141.3.32
10:36:54.290 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:cf3204bb-38dd-4456-9e54-4d4df1780912 was completed
10:36:54.290 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:36:57.325 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: ca251b4d-ce20-4bb3-b1c0-dcd8324bbc64 to a node at cluster@10.141.3.32
10:37:07.908 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:ca251b4d-ce20-4bb3-b1c0-dcd8324bbc64 was completed
10:37:07.908 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:37:12.655 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: f2268a31-fba2-4cc6-9921-a43dc1dbb72b to a node at cluster@10.141.3.32
10:37:22.491 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:f2268a31-fba2-4cc6-9921-a43dc1dbb72b was completed
10:37:22.492 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:37:22.747 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: e467cdc4-374d-4874-80c4-3c63e6576d10 to a node at cluster@10.141.3.32
10:37:33.706 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:e467cdc4-374d-4874-80c4-3c63e6576d10 was completed
10:37:33.706 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:37:37.882 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: dd3c3f8c-8fda-434d-a013-aa9b5c80e2a2 to a node at cluster@10.141.3.32
10:37:48.634 INFO  dcs.group8.models.ResourceManager 69 callBackHandler - Job with Job_id:dd3c3f8c-8fda-434d-a013-aa9b5c80e2a2 was completed
10:37:48.635 INFO  dcs.group8.models.ResourceManager 95 callBackHandler - One more node is available now
10:37:53.014 INFO  dcs.group8.models.ResourceManager 121 gsToRmJobMessage - Adding job with Job_id: f0079396-bfa7-44aa-b9bd-ff7ed1a5d2de to a node at cluster@10.141.3.32
